Year,Technology,Region,InvestmentCost
2020,Agri01_AGC,DE1,2476.190476190476
2020,Agri01_AGC,DE2,2476.190476190476
2020,Agri01_AGC,DE3,2476.190476190476
2020,Agri01_AGC,DE4,2476.190476190476
2020,Agri01_AGC,DE5,2476.190476190476
2020,Agri01_AGC,DE6,2476.190476190476
2020,Agri01_AGC,DE7,2476.190476190476
2020,Agri01_AGC,DE8,2476.190476190476
2020,Agri01_AGC,DE9,2476.190476190476
2020,Agri01_AGC,DEA,2476.190476190476
2020,Agri01_AGC,DEB,2476.190476190476
2020,Agri01_AGC,DEC,2476.190476190476
2020,Agri01_AGC,DEE,2476.190476190476
2020,Agri01_AGC,DED,2476.190476190476
2020,Agri01_AGC,DEF,2476.190476190476
2020,Agri01_AGC,DEG,2476.190476190476
2020,Agri02_OFC,DE1,2476.190476190476
2020,Agri02_OFC,DE2,2476.190476190476
2020,Agri02_OFC,DE3,2476.190476190476
2020,Agri02_OFC,DE4,2476.190476190476
2020,Agri02_OFC,DE5,2476.190476190476
2020,Agri02_OFC,DE6,2476.190476190476
2020,Agri02_OFC,DE7,2476.190476190476
2020,Agri02_OFC,DE8,2476.190476190476
2020,Agri02_OFC,DE9,2476.190476190476
2020,Agri02_OFC,DEA,2476.190476190476
2020,Agri02_OFC,DEB,2476.190476190476
2020,Agri02_OFC,DEC,2476.190476190476
2020,Agri02_OFC,DEE,2476.190476190476
2020,Agri02_OFC,DED,2476.190476190476
2020,Agri02_OFC,DEF,2476.190476190476
2020,Agri02_OFC,DEG,2476.190476190476
2020,Agri03_No-till,DE1,1111.111111111111
2020,Agri03_No-till,DE2,1111.111111111111
2020,Agri03_No-till,DE3,1111.111111111111
2020,Agri03_No-till,DE4,1111.111111111111
2020,Agri03_No-till,DE5,1111.111111111111
2020,Agri03_No-till,DE6,1111.111111111111
2020,Agri03_No-till,DE7,1111.111111111111
2020,Agri03_No-till,DE8,1111.111111111111
2020,Agri03_No-till,DE9,1111.111111111111
2020,Agri03_No-till,DEA,1111.111111111111
2020,Agri03_No-till,DEB,1111.111111111111
2020,Agri03_No-till,DEC,1111.111111111111
2020,Agri03_No-till,DEE,1111.111111111111
2020,Agri03_No-till,DED,1111.111111111111
2020,Agri03_No-till,DEF,1111.111111111111
2020,Agri03_No-till,DEG,1111.111111111111
2020,Agri04_toGrassland,DE1,3967.400476190476
2020,Agri04_toGrassland,DE2,3967.400476190476
2020,Agri04_toGrassland,DE3,3967.400476190476
2020,Agri04_toGrassland,DE4,3967.400476190476
2020,Agri04_toGrassland,DE5,3967.400476190476
2020,Agri04_toGrassland,DE6,3967.400476190476
2020,Agri04_toGrassland,DE7,3967.400476190476
2020,Agri04_toGrassland,DE8,3967.400476190476
2020,Agri04_toGrassland,DE9,3967.400476190476
2020,Agri04_toGrassland,DEA,3967.400476190476
2020,Agri04_toGrassland,DEB,3967.400476190476
2020,Agri04_toGrassland,DEC,3967.400476190476
2020,Agri04_toGrassland,DEE,3967.400476190476
2020,Agri04_toGrassland,DED,3967.400476190476
2020,Agri04_toGrassland,DEF,3967.400476190476
2020,Agri04_toGrassland,DEG,3967.400476190476
2020,Agri05_Agroforestry,DE1,2388.8888888888887
2020,Agri05_Agroforestry,DE2,2388.8888888888887
2020,Agri05_Agroforestry,DE3,2388.8888888888887
2020,Agri05_Agroforestry,DE4,2388.8888888888887
2020,Agri05_Agroforestry,DE5,2388.8888888888887
2020,Agri05_Agroforestry,DE6,2388.8888888888887
2020,Agri05_Agroforestry,DE7,2388.8888888888887
2020,Agri05_Agroforestry,DE8,2388.8888888888887
2020,Agri05_Agroforestry,DE9,2388.8888888888887
2020,Agri05_Agroforestry,DEA,2388.8888888888887
2020,Agri05_Agroforestry,DEB,2388.8888888888887
2020,Agri05_Agroforestry,DEC,2388.8888888888887
2020,Agri05_Agroforestry,DEE,2388.8888888888887
2020,Agri05_Agroforestry,DED,2388.8888888888887
2020,Agri05_Agroforestry,DEF,2388.8888888888887
2020,Agri05_Agroforestry,DEG,2388.8888888888887
2020,Agri06_Biochar,DE1,2476.190476190476
2020,Agri06_Biochar,DE2,2476.190476190476
2020,Agri06_Biochar,DE3,2476.190476190476
2020,Agri06_Biochar,DE4,2476.190476190476
2020,Agri06_Biochar,DE5,2476.190476190476
2020,Agri06_Biochar,DE6,2476.190476190476
2020,Agri06_Biochar,DE7,2476.190476190476
2020,Agri06_Biochar,DE8,2476.190476190476
2020,Agri06_Biochar,DE9,2476.190476190476
2020,Agri06_Biochar,DEA,2476.190476190476
2020,Agri06_Biochar,DEB,2476.190476190476
2020,Agri06_Biochar,DEC,2476.190476190476
2020,Agri06_Biochar,DEE,2476.190476190476
2020,Agri06_Biochar,DED,2476.190476190476
2020,Agri06_Biochar,DEF,2476.190476190476
2020,Agri06_Biochar,DEG,2476.190476190476
2021,Agri01_AGC,DE1,2394.846341190349
2021,Agri01_AGC,DE2,2394.846341190349
2021,Agri01_AGC,DE3,2394.846341190349
2021,Agri01_AGC,DE4,2394.846341190349
2021,Agri01_AGC,DE5,2394.846341190349
2021,Agri01_AGC,DE6,2394.846341190349
2021,Agri01_AGC,DE7,2394.846341190349
2021,Agri01_AGC,DE8,2394.846341190349
2021,Agri01_AGC,DE9,2394.846341190349
2021,Agri01_AGC,DEA,2394.846341190349
2021,Agri01_AGC,DEB,2394.846341190349
2021,Agri01_AGC,DEC,2394.846341190349
2021,Agri01_AGC,DEE,2394.846341190349
2021,Agri01_AGC,DED,2394.846341190349
2021,Agri01_AGC,DEF,2394.846341190349
2021,Agri01_AGC,DEG,2394.846341190349
2021,Agri02_OFC,DE1,2394.1887900435936
2021,Agri02_OFC,DE2,2394.1887900435936
2021,Agri02_OFC,DE3,2394.1887900435936
2021,Agri02_OFC,DE4,2394.1887900435936
2021,Agri02_OFC,DE5,2394.1887900435936
2021,Agri02_OFC,DE6,2394.1887900435936
2021,Agri02_OFC,DE7,2394.1887900435936
2021,Agri02_OFC,DE8,2394.1887900435936
2021,Agri02_OFC,DE9,2394.1887900435936
2021,Agri02_OFC,DEA,2394.1887900435936
2021,Agri02_OFC,DEB,2394.1887900435936
2021,Agri02_OFC,DEC,2394.1887900435936
2021,Agri02_OFC,DEE,2394.1887900435936
2021,Agri02_OFC,DED,2394.1887900435936
2021,Agri02_OFC,DEF,2394.1887900435936
2021,Agri02_OFC,DEG,2394.1887900435936
2021,Agri03_No-till,DE1,1323.3911849822996
2021,Agri03_No-till,DE2,1323.3911849822996
2021,Agri03_No-till,DE3,1323.3911849822996
2021,Agri03_No-till,DE4,1323.3911849822996
2021,Agri03_No-till,DE5,1323.3911849822996
2021,Agri03_No-till,DE6,1323.3911849822996
2021,Agri03_No-till,DE7,1323.3911849822996
2021,Agri03_No-till,DE8,1323.3911849822996
2021,Agri03_No-till,DE9,1323.3911849822996
2021,Agri03_No-till,DEA,1323.3911849822996
2021,Agri03_No-till,DEB,1323.3911849822996
2021,Agri03_No-till,DEC,1323.3911849822996
2021,Agri03_No-till,DEE,1323.3911849822996
2021,Agri03_No-till,DED,1323.3911849822996
2021,Agri03_No-till,DEF,1323.3911849822996
