Year,Technology,Region,InvestmentLevelCost
2020,Agri01_AGC,DE1,158.80334567688828
2020,Agri01_AGC,DE2,158.80334567688828
2020,Agri01_AGC,DE3,158.80334567688828
2020,Agri01_AGC,DE4,158.80334567688828
2020,Agri01_AGC,DE5,158.80334567688828
2020,Agri01_AGC,DE6,158.80334567688828
2020,Agri01_AGC,DE7,158.80334567688828
2020,Agri01_AGC,DE8,158.80334567688828
2020,Agri01_AGC,DE9,158.80334567688828
2020,Agri01_AGC,DEA,158.80334567688828
2020,Agri01_AGC,DEB,158.80334567688828
2020,Agri01_AGC,DEC,158.80334567688828
2020,Agri01_AGC,DEE,158.80334567688828
2020,Agri01_AGC,DED,158.80334567688828
2020,Agri01_AGC,DEF,158.80334567688828
2020,Agri01_AGC,DEG,158.80334567688828
2020,Agri02_OFC,DE1,158.80334567688828
2020,Agri02_OFC,DE2,158.80334567688828
2020,Agri02_OFC,DE3,158.80334567688828
2020,Agri02_OFC,DE4,158.80334567688828
2020,Agri02_OFC,DE5,158.80334567688828
2020,Agri02_OFC,DE6,158.80334567688828
2020,Agri02_OFC,DE7,158.80334567688828
2020,Agri02_OFC,DE8,158.80334567688828
2020,Agri02_OFC,DE9,158.80334567688828
2020,Agri02_OFC,DEA,158.80334567688828
2020,Agri02_OFC,DEB,158.80334567688828
2020,Agri02_OFC,DEC,158.80334567688828
2020,Agri02_OFC,DEE,158.80334567688828
2020,Agri02_OFC,DED,158.80334567688828
2020,Agri02_OFC,DEF,158.80334567688828
2020,Agri02_OFC,DEG,158.80334567688828
2020,Agri03_No-till,DE1,71.25791152168064
2020,Agri03_No-till,DE2,71.25791152168064
2020,Agri03_No-till,DE3,71.25791152168064
2020,Agri03_No-till,DE4,71.25791152168064
2020,Agri03_No-till,DE5,71.25791152168064
2020,Agri03_No-till,DE6,71.25791152168064
2020,Agri03_No-till,DE7,71.25791152168064
2020,Agri03_No-till,DE8,71.25791152168064
2020,Agri03_No-till,DE9,71.25791152168064
2020,Agri03_No-till,DEA,71.25791152168064
2020,Agri03_No-till,DEB,71.25791152168064
2020,Agri03_No-till,DEC,71.25791152168064
2020,Agri03_No-till,DEE,71.25791152168064
2020,Agri03_No-till,DED,71.25791152168064
2020,Agri03_No-till,DEF,71.25791152168064
2020,Agri03_No-till,DEG,71.25791152168064
2020,Agri04_toGrassland,DE1,254.43780489310913
2020,Agri04_toGrassland,DE2,254.43780489310913
2020,Agri04_toGrassland,DE3,254.43780489310913
2020,Agri04_toGrassland,DE4,254.43780489310913
2020,Agri04_toGrassland,DE5,254.43780489310913
2020,Agri04_toGrassland,DE6,254.43780489310913
2020,Agri04_toGrassland,DE7,254.43780489310913
2020,Agri04_toGrassland,DE8,254.43780489310913
2020,Agri04_toGrassland,DE9,254.43780489310913
2020,Agri04_toGrassland,DEA,254.43780489310913
2020,Agri04_toGrassland,DEB,254.43780489310913
2020,Agri04_toGrassland,DEC,254.43780489310913
2020,Agri04_toGrassland,DEE,254.43780489310913
2020,Agri04_toGrassland,DED,254.43780489310913
2020,Agri04_toGrassland,DEF,254.43780489310913
2020,Agri04_toGrassland,DEG,254.43780489310913
2020,Agri05_Agroforestry,DE1,153.20450977161335
2020,Agri05_Agroforestry,DE2,153.20450977161335
2020,Agri05_Agroforestry,DE3,153.20450977161335
2020,Agri05_Agroforestry,DE4,153.20450977161335
2020,Agri05_Agroforestry,DE5,153.20450977161335
2020,Agri05_Agroforestry,DE6,153.20450977161335
2020,Agri05_Agroforestry,DE7,153.20450977161335
2020,Agri05_Agroforestry,DE8,153.20450977161335
2020,Agri05_Agroforestry,DE9,153.20450977161335
2020,Agri05_Agroforestry,DEA,153.20450977161335
2020,Agri05_Agroforestry,DEB,153.20450977161335
2020,Agri05_Agroforestry,DEC,153.20450977161335
2020,Agri05_Agroforestry,DEE,153.20450977161335
2020,Agri05_Agroforestry,DED,153.20450977161335
2020,Agri05_Agroforestry,DEF,153.20450977161335
2020,Agri05_Agroforestry,DEG,153.20450977161335
2020,Agri06_Biochar,DE1,158.80334567688828
2020,Agri06_Biochar,DE2,158.80334567688828
2020,Agri06_Biochar,DE3,158.80334567688828
2020,Agri06_Biochar,DE4,158.80334567688828
2020,Agri06_Biochar,DE5,158.80334567688828
